variable_name,description,source,origin_dataset,relevant_URLs,output_relation
total_amount_dem_primary,Total amount of all contribution types going to Democratic candidates in primary elections only in that district-cycle (measured in dollars),DIME data,contribDB_1980.csv to contribDB_2024.csv,https://data.stanford.edu/dime,OUTPUT_2
tran_count_dem_primary,Number of transactions for total_amount_dem_primary,DIME data,contribDB_1980.csv to contribDB_2024.csv,https://data.stanford.edu/dime,OUTPUT_2
total_amount_dem_primary_without_LTS1,"Total amount of all contribution types going to Democratic candidates in primary elections only before the date of the special election in that district-cycle, if applicable (measured in dollars)",DIME data ; ChatGPT ; Wikipedia,"contribDB_1980.csv to contribDB_2024.csv ; dime_recipients_1979_2024.csv ; special_elections_final.csv, election_dates.csv",https://data.stanford.edu/dime ; https://en.wikipedia.org/wiki/List_of_special_elections_to_the_United_States_House_of_Representatives,OUTPUT_2
tran_count_dem_primary_without_LTS1,Number of transactions for total_amount_dem_primary_without_LTS1,DIME data ; ChatGPT ; Wikipedia,"contribDB_1980.csv to contribDB_2024.csv ; dime_recipients_1979_2024.csv ; special_elections_final.csv, election_dates.csv",https://data.stanford.edu/dime ; https://en.wikipedia.org/wiki/List_of_special_elections_to_the_United_States_House_of_Representatives,OUTPUT_2
total_amount_dem_special,Total amount of all contribution types going to Democratic candidates in special elections only in that district-cycle (measured in dollars),DIME data,contribDB_1980.csv to contribDB_2024.csv,https://data.stanford.edu/dime,OUTPUT_2
tran_count_dem_special,Number of transactions for total_amount_dem_special,DIME data,contribDB_1980.csv to contribDB_2024.csv,https://data.stanford.edu/dime,OUTPUT_2
total_amount_dem_special_without_LTS1,"Total amount of all contribution types going to Democratic candidates in special elections only before the date of the special election in that district-cycle, if applicable (measured in dollars)",DIME data ; ChatGPT ; Wikipedia,"contribDB_1980.csv to contribDB_2024.csv ; dime_recipients_1979_2024.csv ; special_elections_final.csv, election_dates.csv",https://data.stanford.edu/dime ; https://en.wikipedia.org/wiki/List_of_special_elections_to_the_United_States_House_of_Representatives,OUTPUT_2
tran_count_dem_special_without_LTS1,Number of transactions for total_amount_dem_special_without_LTS1,DIME data ; ChatGPT ; Wikipedia,"contribDB_1980.csv to contribDB_2024.csv ; dime_recipients_1979_2024.csv ; special_elections_final.csv, election_dates.csv",https://data.stanford.edu/dime ; https://en.wikipedia.org/wiki/List_of_special_elections_to_the_United_States_House_of_Representatives,OUTPUT_2
total_amount_rep_gen,Total amount of all contribution types going to Republican candidate in general elections only in that district-cycle (measured in dollars),DIME data,contribDB_1980.csv to contribDB_2024.csv,https://data.stanford.edu/dime,OUTPUT_2
tran_count_rep_gen,Number of transactions for total_amount_rep_gen,DIME data,contribDB_1980.csv to contribDB_2024.csv,https://data.stanford.edu/dime,OUTPUT_2
total_amount_rep_gen_without_LTS1,"Total amount of all contribution types going to Republican candidate in general elections only before the date of the special election in that district-cycle, if applicable (measured in dollars)",DIME data ; ChatGPT ; Wikipedia,"contribDB_1980.csv to contribDB_2024.csv ; dime_recipients_1979_2024.csv ; special_elections_final.csv, election_dates.csv",https://data.stanford.edu/dime ; https://en.wikipedia.org/wiki/List_of_special_elections_to_the_United_States_House_of_Representatives,OUTPUT_2
tran_count_rep_gen_without_LTS1,Number of transactions for total_amount_rep_gen_without_LTS1,DIME data ; ChatGPT ; Wikipedia,"contribDB_1980.csv to contribDB_2024.csv ; dime_recipients_1979_2024.csv ; special_elections_final.csv, election_dates.csv",https://data.stanford.edu/dime ; https://en.wikipedia.org/wiki/List_of_special_elections_to_the_United_States_House_of_Representatives,OUTPUT_2
total_amount_rep_primary,Total amount of all contribution types going to Republican candidates in primary elections only in that district-cycle (measured in dollars),DIME data,contribDB_1980.csv to contribDB_2024.csv,https://data.stanford.edu/dime,OUTPUT_2
tran_count_rep_primary,Number of transactions for total_amount_rep_primary,DIME data,contribDB_1980.csv to contribDB_2024.csv,https://data.stanford.edu/dime,OUTPUT_2
total_amount_rep_primary_without_LTS1,"Total amount of all contribution types going to Republican candidates in primary elections only before the date of the special election in that district-cycle, if applicable (measured in dollars)",DIME data ; ChatGPT ; Wikipedia,"contribDB_1980.csv to contribDB_2024.csv ; dime_recipients_1979_2024.csv ; special_elections_final.csv, election_dates.csv",https://data.stanford.edu/dime ; https://en.wikipedia.org/wiki/List_of_special_elections_to_the_United_States_House_of_Representatives,OUTPUT_2
tran_count_rep_primary_without_LTS1,Number of transactions for total_amount_rep_primary_without_LTS1,DIME data ; ChatGPT ; Wikipedia,"contribDB_1980.csv to contribDB_2024.csv ; dime_recipients_1979_2024.csv ; special_elections_final.csv, election_dates.csv",https://data.stanford.edu/dime ; https://en.wikipedia.org/wiki/List_of_special_elections_to_the_United_States_House_of_Representatives,OUTPUT_2
total_amount_rep_special,Total amount of all contribution types going to Republican candidates in special elections only in that district-cycle (measured in dollars),DIME data,contribDB_1980.csv to contribDB_2024.csv,https://data.stanford.edu/dime,OUTPUT_2
tran_count_rep_special,Number of transactions for total_amount_rep_special,DIME data,contribDB_1980.csv to contribDB_2024.csv,https://data.stanford.edu/dime,OUTPUT_2
total_amount_rep_special_without_LTS1,"Total amount of all contribution types going to Democratic candidates in special elections only before the date of the special election in that district-cycle, if applicable (measured in dollars)",DIME data ; ChatGPT ; Wikipedia,"contribDB_1980.csv to contribDB_2024.csv ; dime_recipients_1979_2024.csv ; special_elections_final.csv, election_dates.csv",https://data.stanford.edu/dime ; https://en.wikipedia.org/wiki/List_of_special_elections_to_the_United_States_House_of_Representatives,OUTPUT_2
tran_count_rep_special_without_LTS1,Number of transactions for total_amount_rep_special_without_LTS1,DIME data ; ChatGPT ; Wikipedia,"contribDB_1980.csv to contribDB_2024.csv ; dime_recipients_1979_2024.csv ; special_elections_final.csv, election_dates.csv",https://data.stanford.edu/dime ; https://en.wikipedia.org/wiki/List_of_special_elections_to_the_United_States_House_of_Representatives,OUTPUT_2
total_amount_corp,Total amount of all corporate contributions going to all election types in that district-cycle (measured in dollars),DIME data,contribDB_1980.csv to contribDB_2024.csv,https://data.stanford.edu/dime,OUTPUT_3
tran_count_corp,Number of transactions for total_amount_corp,DIME data,contribDB_1980.csv to contribDB_2024.csv,https://data.stanford.edu/dime,OUTPUT_3
total_amount_without_LTS1_corp,"Total amount of all corporate contributions going to all election types before the date of the special election in that district-cycle, if applicable (measured in dollars)",DIME data ; ChatGPT ; Wikipedia,"contribDB_1980.csv to contribDB_2024.csv ; dime_recipients_1979_2024.csv ; special_elections_final.csv, election_dates.csv",https://data.stanford.edu/dime ; https://en.wikipedia.org/wiki/List_of_special_elections_to_the_United_States_House_of_Representatives,OUTPUT_3
tran_count_without_LTS1_corp,Number of transactions for total_amount_without_LTS1_corp,DIME data ; ChatGPT ; Wikipedia,"contribDB_1980.csv to contribDB_2024.csv ; dime_recipients_1979_2024.csv ; special_elections_final.csv, election_dates.csv",https://data.stanford.edu/dime ; https://en.wikipedia.org/wiki/List_of_special_elections_to_the_United_States_House_of_Representatives,OUTPUT_3
total_amount_no_primary_corp,Total amount of all corporate contributions going to all election types (except primary elections) in that district-cycle (measured in dollars),DIME data,contribDB_1980.csv to contribDB_2024.csv,https://data.stanford.edu/dime,OUTPUT_3
tran_count_no_primary_corp,Number of transactions for total_amount_no_primary_corp,DIME data,contribDB_1980.csv to contribDB_2024.csv,https://data.stanford.edu/dime,OUTPUT_3
total_amount_no_primary_without_LTS1_corp,"Total amount of all corporate contributions going to all election types (except primary elections) before the date of the special election in that district-cycle, if applicable (measured in dollars)",DIME data ; ChatGPT ; Wikipedia,"contribDB_1980.csv to contribDB_2024.csv ; dime_recipients_1979_2024.csv ; special_elections_final.csv, election_dates.csv",https://data.stanford.edu/dime ; https://en.wikipedia.org/wiki/List_of_special_elections_to_the_United_States_House_of_Representatives,OUTPUT_3
tran_count_no_primary_without_LTS1_corp,Number of transactions for total_amount_no_primary_without_LTS1_corp,DIME data ; ChatGPT ; Wikipedia,"contribDB_1980.csv to contribDB_2024.csv ; dime_recipients_1979_2024.csv ; special_elections_final.csv, election_dates.csv",https://data.stanford.edu/dime ; https://en.wikipedia.org/wiki/List_of_special_elections_to_the_United_States_House_of_Representatives,OUTPUT_3
total_amount_primary_corp,Total amount of all corporate contributions going to primary elections only in that district-cycle (measured in dollars),DIME data,contribDB_1980.csv to contribDB_2024.csv,https://data.stanford.edu/dime,OUTPUT_3
tran_count_primary_corp,Number of transactions for total_amount_primary_corp,DIME data,contribDB_1980.csv to contribDB_2024.csv,https://data.stanford.edu/dime,OUTPUT_3
total_amount_primary_without_LTS1_corp,"Total amount of all corporate contributions going to primary elections only before the date of the special election in that district-cycle, if applicable (measured in dollars)",DIME data ; ChatGPT ; Wikipedia,"contribDB_1980.csv to contribDB_2024.csv ; dime_recipients_1979_2024.csv ; special_elections_final.csv, election_dates.csv",https://data.stanford.edu/dime ; https://en.wikipedia.org/wiki/List_of_special_elections_to_the_United_States_House_of_Representatives,OUTPUT_3
tran_count_primary_without_LTS1_corp,Number of transactions for total_amount_primary_without_LTS1_corp,DIME data ; ChatGPT ; Wikipedia,"contribDB_1980.csv to contribDB_2024.csv ; dime_recipients_1979_2024.csv ; special_elections_final.csv, election_dates.csv",https://data.stanford.edu/dime ; https://en.wikipedia.org/wiki/List_of_special_elections_to_the_United_States_House_of_Representatives,OUTPUT_3
total_amount_gen_corp,Total amount of all corporate contributions going to general elections only in that district-cycle (measured in dollars),DIME data,contribDB_1980.csv to contribDB_2024.csv,https://data.stanford.edu/dime,OUTPUT_3
tran_count_gen_corp,Number of transactions for total_amount_gen_corp,DIME data,contribDB_1980.csv to contribDB_2024.csv,https://data.stanford.edu/dime,OUTPUT_3
total_amount_gen_without_LTS1_corp,"Total amount of all corporate contributions going to general elections only before the date of the special election in that district-cycle, if applicable (measured in dollars)",DIME data ; ChatGPT ; Wikipedia,"contribDB_1980.csv to contribDB_2024.csv ; dime_recipients_1979_2024.csv ; special_elections_final.csv, election_dates.csv",https://data.stanford.edu/dime ; https://en.wikipedia.org/wiki/List_of_special_elections_to_the_United_States_House_of_Representatives,OUTPUT_3
tran_count_gen_without_LTS1_corp,Number of transactions for total_amount_gen_without_LTS1_corp,DIME data ; ChatGPT ; Wikipedia,"contribDB_1980.csv to contribDB_2024.csv ; dime_recipients_1979_2024.csv ; special_elections_final.csv, election_dates.csv",https://data.stanford.edu/dime ; https://en.wikipedia.org/wiki/List_of_special_elections_to_the_United_States_House_of_Representatives,OUTPUT_3
total_amount_special_corp,Total amount of all corporate contributions going to special elections only in that district-cycle (measured in dollars),DIME data,contribDB_1980.csv to contribDB_2024.csv,https://data.stanford.edu/dime,OUTPUT_3
tran_count_special_corp,Number of transactions for total_amount_special_corp,DIME data,contribDB_1980.csv to contribDB_2024.csv,https://data.stanford.edu/dime,OUTPUT_3
total_amount_special_without_LTS1_corp,"Total amount of all corporate contributions going to special elections only before the date of the special election in that district-cycle, if applicable (measured in dollars)",DIME data ; ChatGPT ; Wikipedia,"contribDB_1980.csv to contribDB_2024.csv ; dime_recipients_1979_2024.csv ; special_elections_final.csv, election_dates.csv",https://data.stanford.edu/dime ; https://en.wikipedia.org/wiki/List_of_special_elections_to_the_United_States_House_of_Representatives,OUTPUT_3
tran_count_special_without_LTS1_corp,Number of transactions for total_amount_special_without_LTS1_corp,DIME data ; ChatGPT ; Wikipedia,"contribDB_1980.csv to contribDB_2024.csv ; dime_recipients_1979_2024.csv ; special_elections_final.csv, election_dates.csv",https://data.stanford.edu/dime ; https://en.wikipedia.org/wiki/List_of_special_elections_to_the_United_States_House_of_Representatives,OUTPUT_3
total_amount_dem_gen_corp,Total amount of all corporate contributions going to Democratic candidate in general elections only in that district-cycle (measured in dollars),DIME data,contribDB_1980.csv to contribDB_2024.csv,https://data.stanford.edu/dime,OUTPUT_3
tran_count_dem_gen_corp,Number of transactions for total_amount_dem_gen_corp,DIME data,contribDB_1980.csv to contribDB_2024.csv,https://data.stanford.edu/dime,OUTPUT_3
total_amount_dem_gen_without_LTS1_corp,"Total amount of all corporate contributions going to Democratic candidate in general elections only before the date of the special election in that district-cycle, if applicable (measured in dollars)",DIME data ; ChatGPT ; Wikipedia,"contribDB_1980.csv to contribDB_2024.csv ; dime_recipients_1979_2024.csv ; special_elections_final.csv, election_dates.csv",https://data.stanford.edu/dime ; https://en.wikipedia.org/wiki/List_of_special_elections_to_the_United_States_House_of_Representatives,OUTPUT_3
tran_count_dem_gen_without_LTS1_corp,Number of transactions for total_amount_dem_gen_without_LTS1_corp,DIME data ; ChatGPT ; Wikipedia,"contribDB_1980.csv to contribDB_2024.csv ; dime_recipients_1979_2024.csv ; special_elections_final.csv, election_dates.csv",https://data.stanford.edu/dime ; https://en.wikipedia.org/wiki/List_of_special_elections_to_the_United_States_House_of_Representatives,OUTPUT_3
total_amount_dem_primary_corp,Total amount of all corporate contributions going to Democratic candidates in primary elections only in that district-cycle (measured in dollars),DIME data,contribDB_1980.csv to contribDB_2024.csv,https://data.stanford.edu/dime,OUTPUT_3
tran_count_dem_primary_corp,Number of transactions for total_amount_dem_primary_corp,DIME data,contribDB_1980.csv to contribDB_2024.csv,https://data.stanford.edu/dime,OUTPUT_3
total_amount_dem_primary_without_LTS1_corp,"Total amount of all corporate contributions going to Democratic candidates in primary elections only before the date of the special election in that district-cycle, if applicable (measured in dollars)",DIME data ; ChatGPT ; Wikipedia,"contribDB_1980.csv to contribDB_2024.csv ; dime_recipients_1979_2024.csv ; special_elections_final.csv, election_dates.csv",https://data.stanford.edu/dime ; https://en.wikipedia.org/wiki/List_of_special_elections_to_the_United_States_House_of_Representatives,OUTPUT_3
tran_count_dem_primary_without_LTS1_corp,Number of transactions for total_amount_dem_primary_without_LTS1_corp,DIME data ; ChatGPT ; Wikipedia,"contribDB_1980.csv to contribDB_2024.csv ; dime_recipients_1979_2024.csv ; special_elections_final.csv, election_dates.csv",https://data.stanford.edu/dime ; https://en.wikipedia.org/wiki/List_of_special_elections_to_the_United_States_House_of_Representatives,OUTPUT_3
total_amount_dem_special_corp,Total amount of all corporate contributions going to Democratic candidates in special elections only in that district-cycle (measured in dollars),DIME data,contribDB_1980.csv to contribDB_2024.csv,https://data.stanford.edu/dime,OUTPUT_3
tran_count_dem_special_corp,Number of transactions for total_amount_dem_special_corp,DIME data,contribDB_1980.csv to contribDB_2024.csv,https://data.stanford.edu/dime,OUTPUT_3
total_amount_dem_special_without_LTS1_corp,"Total amount of all corporate contributions going to Democratic candidates in special elections only before the date of the special election in that district-cycle, if applicable (measured in dollars)",DIME data ; ChatGPT ; Wikipedia,"contribDB_1980.csv to contribDB_2024.csv ; dime_recipients_1979_2024.csv ; special_elections_final.csv, election_dates.csv",https://data.stanford.edu/dime ; https://en.wikipedia.org/wiki/List_of_special_elections_to_the_United_States_House_of_Representatives,OUTPUT_3
tran_count_dem_special_without_LTS1_corp,Number of transactions for total_amount_dem_special_without_LTS1_corp,DIME data ; ChatGPT ; Wikipedia,"contribDB_1980.csv to contribDB_2024.csv ; dime_recipients_1979_2024.csv ; special_elections_final.csv, election_dates.csv",https://data.stanford.edu/dime ; https://en.wikipedia.org/wiki/List_of_special_elections_to_the_United_States_House_of_Representatives,OUTPUT_3
total_amount_rep_gen_corp,Total amount of all corporate contributions going to Republican candidate in general elections only in that district-cycle (measured in dollars),DIME data,contribDB_1980.csv to contribDB_2024.csv,https://data.stanford.edu/dime,OUTPUT_3
tran_count_rep_gen_corp,Number of transactions for total_amount_rep_gen_corp,DIME data,contribDB_1980.csv to contribDB_2024.csv,https://data.stanford.edu/dime,OUTPUT_3
total_amount_rep_gen_without_LTS1_corp,"Total amount of all corporate contributions going to Republican candidate in general elections only before the date of the special election in that district-cycle, if applicable (measured in dollars)",DIME data ; ChatGPT ; Wikipedia,"contribDB_1980.csv to contribDB_2024.csv ; dime_recipients_1979_2024.csv ; special_elections_final.csv, election_dates.csv",https://data.stanford.edu/dime ; https://en.wikipedia.org/wiki/List_of_special_elections_to_the_United_States_House_of_Representatives,OUTPUT_3
tran_count_rep_gen_without_LTS1_corp,Number of transactions for total_amount_rep_gen_without_LTS1_corp,DIME data ; ChatGPT ; Wikipedia,"contribDB_1980.csv to contribDB_2024.csv ; dime_recipients_1979_2024.csv ; special_elections_final.csv, election_dates.csv",https://data.stanford.edu/dime ; https://en.wikipedia.org/wiki/List_of_special_elections_to_the_United_States_House_of_Representatives,OUTPUT_3
total_amount_rep_primary_corp,Total amount of all corporate contributions going to Republican candidates in primary elections only in that district-cycle (measured in dollars),DIME data,contribDB_1980.csv to contribDB_2024.csv,https://data.stanford.edu/dime,OUTPUT_3
tran_count_rep_primary_corp,Number of transactions for total_amount_rep_primary_corp,DIME data,contribDB_1980.csv to contribDB_2024.csv,https://data.stanford.edu/dime,OUTPUT_3
total_amount_rep_primary_without_LTS1_corp,"Total amount of all corporate contributions going to Republican candidates in primary elections only before the date of the special election in that district-cycle, if applicable (measured in dollars)",DIME data ; ChatGPT ; Wikipedia,"contribDB_1980.csv to contribDB_2024.csv ; dime_recipients_1979_2024.csv ; special_elections_final.csv, election_dates.csv",https://data.stanford.edu/dime ; https://en.wikipedia.org/wiki/List_of_special_elections_to_the_United_States_House_of_Representatives,OUTPUT_3
tran_count_rep_primary_without_LTS1_corp,Number of transactions for total_amount_rep_primary_without_LTS1_corp,DIME data ; ChatGPT ; Wikipedia,"contribDB_1980.csv to contribDB_2024.csv ; dime_recipients_1979_2024.csv ; special_elections_final.csv, election_dates.csv",https://data.stanford.edu/dime ; https://en.wikipedia.org/wiki/List_of_special_elections_to_the_United_States_House_of_Representatives,OUTPUT_3
total_amount_rep_special_corp,Total amount of all corporate contributions going to Republican candidates in special elections only in that district-cycle (measured in dollars),DIME data,contribDB_1980.csv to contribDB_2024.csv,https://data.stanford.edu/dime,OUTPUT_3
tran_count_rep_special_corp,Number of transactions for total_amount_rep_special_corp,DIME data,contribDB_1980.csv to contribDB_2024.csv,https://data.stanford.edu/dime,OUTPUT_3
total_amount_rep_special_without_LTS1_corp,"Total amount of all corporate contributions going to Democratic candidates in special elections only before the date of the special election in that district-cycle, if applicable (measured in dollars)",DIME data ; ChatGPT ; Wikipedia,"contribDB_1980.csv to contribDB_2024.csv ; dime_recipients_1979_2024.csv ; special_elections_final.csv, election_dates.csv",https://data.stanford.edu/dime ; https://en.wikipedia.org/wiki/List_of_special_elections_to_the_United_States_House_of_Representatives,OUTPUT_3
tran_count_rep_special_without_LTS1_corp,Number of transactions for total_amount_rep_special_without_LTS1_corp,DIME data,contribDB_1980.csv to contribDB_2024.csv,https://data.stanford.edu/dime,OUTPUT_3
total_amount_ind,Total amount of all individual contributions going to all election types in that district-cycle (measured in dollars),DIME data,contribDB_1980.csv to contribDB_2024.csv,https://data.stanford.edu/dime,OUTPUT_4 (or OUTPUT_4_1)
