Congress,Original,Cause of vacancy,Winner,Date,year,district
111th.[x],Rahm Emanuel (D),Resigned,Mike Quigley (D),"April 7, 2009",2009.0,IL05
111th,Hilda Solis (D),Resigned,Judy Chu (D),"July 14, 2009",2009.0,CA32
111th,Ellen Tauscher (D),Resigned,John Garamendi (D),"November 3, 2009",2009.0,CA10
111th,John M. McHugh (R),Resigned,Bill Owens (D),"November 3, 2009",2009.0,NY23
111th,Robert Wexler (D),Resigned,Ted Deutch (D),"April 13, 2010",2010.0,FL19
111th,John Murtha (D),"Died February 8, 2010",Mark Critz (D),"May 18, 2010",2010.0,PA12
111th,Neil Abercrombie (D),Resigned,Charles Djou (R),"May 22, 2010",2010.0,HI01
111th,Nathan Deal (R),Resigned,Tom Graves (R),"June 8, 2010[y]",2010.0,GA09
111th,Mark Souder (R),Resigned,Marlin Stutzman (R),"November 2, 2010",2010.0,IN03
111th,Eric Massa (D),Resigned,Tom Reed (R),"November 2, 2010",2010.0,NY29
112th,Chris Lee (R),Resigned,Kathy Hochul (D),"May 24, 2011",2011.0,NY26
112th,Jane Harman (D),Resigned,Janice Hahn (D),"July 12, 2011",2011.0,CA36
112th,Dean Heller (R),Resigned,Mark Amodei (R),"September 13, 2011",2011.0,NV02
112th,Anthony Weiner (D),Resigned,Bob Turner (R),"September 13, 2011",2011.0,NY09
112th,David Wu (D),Resigned,Suzanne Bonamici (D),"January 31, 2012",2012.0,OR01
112th,Gabby Giffords (D),Resigned,Ron Barber (D),"June 12, 2012",2012.0,AZ08
112th,Geoff Davis (R),Resigned,Thomas Massie (R),"November 6, 2012",2012.0,KY04
112th,Thad McCotter (R),Resigned,David Curson (D),"November 6, 2012",2012.0,MI11
112th,Donald M. Payne (D),"Died March 6, 2012",Donald Payne Jr. (D),"November 6, 2012",2012.0,NJ10
112th,Jay Inslee (D),Resigned,Suzan DelBene (D),"November 6, 2012",2012.0,WA01
113th,Jesse Jackson Jr. (D),"Jesse Jackson Jr. (D) resigned November 21, 2012, during the previous Congress[9]",Robin Kelly (D),"April 9, 2013",2013.0,IL02
113th,Tim Scott (R),"Tim Scott (R) resigned January 2, 2013, before the end of the previous Congress",Mark Sanford (R),"May 7, 2013",2013.0,SC01
113th,Jo Ann Emerson (R),"Resigned January 22, 2013",Jason Smith (R),"June 4, 2013",2013.0,MO08
113th,Rodney Alexander (R),"Resigned September 26, 2013",Vance McAllister (R),"November 16, 2013",2013.0,LA05
113th,Ed Markey (D),"Resigned July 15, 2013",Katherine Clark (D),"December 10, 2013",2013.0,MA05
113th,Jo Bonner (R),"Resigned August 2, 2013",Bradley Byrne (R),"December 17, 2013",2013.0,AL01
113th,Bill Young (R),"Died October 18, 2013",David Jolly (R),"March 11, 2014",2014.0,FL13
113th,Trey Radel (R),"Resigned January 27, 2014",Curt Clawson (R),"June 24, 2014",2014.0,FL19
113th,Mel Watt (D),"Resigned January 6, 2014",Alma Adams (D),"November 4, 2014",2014.0,NC12
113th,Rob Andrews (D),"Resigned February 18, 2014",Donald Norcross (D),"November 4, 2014",2014.0,NJ01
113th,Eric Cantor (R),"Resigned August 1, 2014",Dave Brat (R),"November 4, 2014",2014.0,VA07
114th,Michael Grimm (R),"Resigned January 5, 2015",Dan Donovan (R),"May 5, 2015",2015.0,NY11
114th,Alan Nunnelee (R),"Died February 6, 2015",Trent Kelly (R),"May 12, 2015",2015.0,MS01
114th,Aaron Schock (R),"Resigned March 31, 2015",Darin LaHood (R),"September 10, 2015",2015.0,IL18
114th,John Boehner (R),"Resigned October 29, 2015",Warren Davidson (R),"June 7, 2016",2016.0,OH08
114th,Chaka Fattah (D),"Resigned June 23, 2016",Dwight Evans (D),"November 8, 2016",2016.0,PA02
114th,Mark Takai (D),"Died July 20, 2016",Colleen Hanabusa (D),"November 8, 2016",2016.0,HI01
114th,Ed Whitfield (R),"Resigned September 6, 2016",James Comer (R),"November 8, 2016",2016.0,KY01
115th,Mike Pompeo (R),"Resigned January 23, 2017",Ron Estes (R),"April 11, 2017",2017.0,KS04
115th,Ryan Zinke (R),"Resigned March 1, 2017",Greg Gianforte (R),"May 25, 2017",2017.0,MTnan
115th,Xavier Becerra (D),"Resigned January 24, 2017",Jimmy Gomez (D),"June 6, 2017",2017.0,CA34
115th,Tom Price (R),"Resigned February 10, 2017",Karen Handel (R),"June 20, 2017",2017.0,GA06
115th,Mick Mulvaney (R),"Resigned February 16, 2017",Ralph Norman (R),"June 20, 2017",2017.0,SC05
115th,Jason Chaffetz (R),"Resigned June 30, 2017",John Curtis (R),"November 7, 2017",2017.0,UT03
115th,Tim Murphy (R),"Resigned October 21, 2017[10]",Conor Lamb (D),"March 13, 2018",2018.0,PA18
115th,Trent Franks (R),"Resigned December 8, 2017",Debbie Lesko (R),"April 24, 2018",2018.0,AZ08
115th,Blake Farenthold (R),"Resigned April 6, 2018",Michael Cloud (R),"June 30, 2018",2018.0,TX27
115th,Pat Tiberi (R),"Resigned January 15, 2018",Troy Balderson (R),"August 7, 2018",2018.0,OH12
115th,John Conyers (D),"Resigned December 5, 2017",Brenda Jones (D),"November 6, 2018",2018.0,MI13
115th,Louise Slaughter (D),"Died March 16, 2018",Joseph Morelle (D),"November 6, 2018",2018.0,NY25
115th,Pat Meehan (R),"Resigned April 27, 2018",Mary Gay Scanlon (D),"November 6, 2018",2018.0,PA07
115th,Charlie Dent (R),"Resigned May 12, 2018",Susan Wild (D),"November 6, 2018",2018.0,PA15
116th,Tom Marino (R),"Resigned January 23, 2019",Fred Keller (R),"May 21, 2019",2019.0,PA12
116th,Walter B. Jones Jr. (R),"Died February 10, 2019",Greg Murphy (R),"September 10, 2019",2019.0,NC03
116th,Robert Pittenger (R),Results of 2018 election were annulled; seat was declared vacant[11][12],Dan Bishop (R),"September 10, 2019",2019.0,NC09
116th,Elijah Cummings (D),"Died October 17, 2019",Kweisi Mfume (D),"April 28, 2020",2020.0,MD07
116th,Katie Hill (D),"Resigned November 3, 2019",Mike Garcia (R),"May 12, 2020",2020.0,CA25
116th,Sean Duffy (R),"Resigned September 23, 2019",Tom Tiffany (R),"May 12, 2020",2020.0,WI07
116th,Chris Collins (R),"Resigned October 1, 2019",Chris Jacobs (R),"June 23, 2020",2020.0,NY27
116th,John Lewis (D),"Died July 17, 2020",Kwanza Hall (D),"December 1, 2020",2020.0,GA05
117th,Luke Letlow (R),"Representative-elect Luke Letlow (R) died December 29, 2020",Julia Letlow (R),"March 20, 2021",2021.0,LA05
117th,Cedric Richmond (D),"Resigned January 15, 2021",Troy Carter (D),"April 24, 2021",2021.0,LA02
117th,Deb Haaland (D),"Resigned March 16, 2021",Melanie Stansbury (D),"June 1, 2021",2021.0,NM01
117th,Ron Wright (R),"Died February 7, 2021",Jake Ellzey (R),"July 27, 2021",2021.0,TX06
117th,Marcia Fudge (D),"Resigned March 10, 2021",Shontel Brown (D),"November 2, 2021",2021.0,OH11
117th,Steve Stivers (R),"Resigned May 16, 2021",Mike Carey (R),"November 2, 2021",2021.0,OH15
117th,Alcee Hastings (D),"Died April 6, 2021",Sheila Cherfilus-McCormick (D),"January 11, 2022",2022.0,FL20
117th,Devin Nunes (R),"Resigned January 1, 2022",Connie Conway (R),"June 7, 2022",2022.0,CA22
117th,Filemon Vela Jr. (D),"Resigned March 31, 2022",Mayra Flores (R),"June 14, 2022",2022.0,TX34
117th,Jeff Fortenberry (R),"Resigned March 31, 2022",Mike Flood (R),"June 28, 2022",2022.0,NE01
117th,Jim Hagedorn (R),"Died February 17, 2022",Brad Finstad (R),"August 9, 2022",2022.0,MN01
117th,Don Young (R),"Died March 18, 2022",Mary Peltola (D),"August 16, 2022",2022.0,AK01
117th,Antonio Delgado (D),"Resigned May 25, 2022",Pat Ryan (D),"August 23, 2022",2022.0,NY19
117th,Tom Reed (R),"Resigned May 10, 2022",Joe Sempolinski (R),"August 23, 2022",2022.0,NY23
117th,Jackie Walorski (R),"Died August 3, 2022",Rudy Yakym (R),"November 8, 2022",2022.0,IN02
118th,Donald McEachin (D),"Donald McEachin (D) died November 28, 2022, during the previous Congress",Jennifer McClellan (D),"February 21, 2023",2023.0,VA04
118th,David Cicilline (D),"Resigned May 31, 2023",Gabe Amo (D),"November 7, 2023",2023.0,RI01
118th,Chris Stewart (R),"Resigned September 15, 2023",Celeste Maloy (R),"November 21, 2023",2023.0,UT02
118th,George Santos (R),"Expelled on December 1, 2023",Tom Suozzi (D),"February 13, 2024",2024.0,NY03
118th,Brian Higgins (D),"Resigned February 2, 2024",Tim Kennedy (D),"April 30, 2024",2024.0,NY26
118th,Kevin McCarthy (R),"Resigned December 31, 2023",Vince Fong (R),"May 21, 2024",2024.0,CA20
118th,Bill Johnson (R),"Resigned January 21, 2024",Michael Rulli (R),"June 11, 2024",2024.0,OH06
118th,Ken Buck (R),"Resigned March 22, 2024",Greg Lopez (R),"June 25, 2024",2024.0,CO04
118th,Donald Payne Jr. (D),"Died April 24, 2024",LaMonica McIver (D),"September 18, 2024",2024.0,NJ10
118th,Mike Gallagher (R),"Resigned April 24, 2024",Tony Wied (R),"November 5, 2024",2024.0,WI08
118th,Sheila Jackson Lee (D),"Died July 19, 2024",Erica Lee Carter (D),"November 5, 2024",2024.0,TX18
